Feature,Operation,Work Material,aspect ratio,Speed,feed per tooth,Depth of cut,Dia. Of tool,Cutting tool material,Cutting tool
1,1,5,23,20.42,0.064,3,9.652,2,Deep hole drill bits
1,1,5,34,20.42,0.071,5,12.7,2,Deep hole drill bits
1,1,5,34,20.42,0.091,8,19.05,2,Deep hole drill bits
1,1,5,35,20.42,0.099,15,25.4,2,Deep hole drill bits
1,1,5,17,20.42,0.117,20,31.75,2,Deep hole drill bits
1,1,5,25,20.42,0.127,25,38.1,2,Deep hole drill bits
1,1,5,29,21.03,0.127,29,50.8,2,Deep hole drill bits
1,1,5,21,21.03,0.142,33,76.2,2,Deep hole drill bits
1,1,5,19,21.03,0.152,37,101.6,2,Deep hole drill bits
1,1,5,24,21.03,0.163,40,152.4,2,Deep hole drill bits
1,1,5,20,21.03,0.18,45,304.8,2,Deep hole drill bits
1,1,5,17,12.5,0.018,0.5,1.6,2,Deep hole drill bits
1,1,5,35,16.46,0.036,1,3.175,2,Deep hole drill bits
1,1,5,16,19.81,0.064,2,6.35,2,Deep hole drill bits
1,1,5,20,20.42,0.064,3,9.652,2,Deep hole drill bits
1,1,5,38,20.42,0.071,5,12.7,2,Deep hole drill bits
1,1,5,16,20.42,0.091,8,19.05,2,Deep hole drill bits
1,1,5,35,20.42,0.099,15,25.4,2,Deep hole drill bits
1,4,5,2,10.06,0.076,0.5,2.362,1,Reaming tool
1,4,5,4,10.67,0.076,1,3.962,1,Reaming tool
1,4,5,4,10.97,0.084,2,7.137,1,Reaming tool
1,4,5,2,11.89,0.119,3,12.7,1,Reaming tool
1,4,5,1,12.8,0.152,5,19.05,1,Reaming tool
1,4,5,5,14.63,0.168,8,25.4,1,Reaming tool
1,4,5,1,16.15,0.203,15,38.1,1,Reaming tool
1,4,5,1,17.98,0.252,20,76.2,1,Reaming tool
1,4,5,1,4.88,0.076,0.5,2.362,2,Reaming tool
1,4,5,3,4.88,0.084,1,3.962,2,Reaming tool
1,4,5,2,5.18,0.091,2,7.137,2,Reaming tool
1,4,5,1,5.18,0.102,3,12.7,2,Reaming tool
1,4,5,1,5.79,0.135,5,19.05,2,Reaming tool
1,4,5,2,6.1,0.152,8,25.4,2,Reaming tool
1,4,5,4,6.4,0.168,15,38.1,2,Reaming tool
1,4,5,1,6.71,0.203,20,76.2,2,Reaming tool
1,2,5,5,12.5,0.018,0.5,1.6,1,Counter drilling tool
1,2,5,4,16.46,0.036,1,3.175,1,Counter drilling tool
1,2,5,5,19.81,0.064,2,6.35,1,Counter drilling tool
1,2,5,4,20.42,0.064,3,9.652,1,Counter drilling tool
1,2,5,3,20.42,0.071,5,12.7,1,Counter drilling tool
1,2,5,4,20.42,0.091,8,19.05,1,Counter drilling tool
1,2,5,1,20.42,0.099,15,25.4,1,Counter drilling tool
1,2,5,5,20.42,0.117,20,31.75,1,Counter drilling tool
1,2,5,1,20.42,0.127,25,38.1,1,Counter drilling tool
1,2,5,1,21.03,0.127,29,50.8,1,Counter drilling tool
1,2,5,2,21.03,0.142,33,76.2,1,Counter drilling tool
1,2,5,3,21.03,0.152,37,101.6,1,Counter drilling tool
1,2,5,2,21.03,0.163,40,152.4,1,Counter drilling tool
1,2,5,5,21.03,0.18,45,304.8,1,Counter drilling tool
1,2,5,1,5.49,0.02,0.5,1.6,3,Counter drilling tool
1,2,5,1,7.62,0.023,1,3.175,3,Counter drilling tool
1,2,5,2,7.92,0.036,2,6.35,3,Counter drilling tool
1,2,5,5,8.23,0.041,3,9.652,3,Counter drilling tool
1,2,5,1,9.14,0.048,5,12.7,3,Counter drilling tool
1,2,5,1,9.75,0.051,8,19.05,3,Counter drilling tool
1,2,5,4,10.36,0.056,15,25.4,3,Counter drilling tool
1,2,5,3,10.36,0.058,20,31.75,3,Counter drilling tool
1,2,5,2,10.67,0.058,25,38.1,3,Counter drilling tool
1,2,5,2,10.67,0.061,29,50.8,3,Counter drilling tool
1,2,5,3,10.67,0.069,33,76.2,3,Counter drilling tool
1,2,5,4,10.67,0.069,37,101.6,3,Counter drilling tool
1,2,5,2,10.67,0.069,40,152.4,3,Counter drilling tool
1,2,5,4,10.67,0.069,45,304.8,3,Counter drilling tool
1,2,5,3,3.96,0.02,0.5,1.6,2,Counter drilling tool
1,2,5,2,5.79,0.023,1,3.175,2,Counter drilling tool
1,2,5,2,6.1,0.033,2,6.35,2,Counter drilling tool
1,2,5,2,6.4,0.041,3,9.652,2,Counter drilling tool
1,2,5,3,6.71,0.046,5,12.7,2,Counter drilling tool
1,2,5,4,7.32,0.048,8,19.05,2,Counter drilling tool
1,2,5,5,7.62,0.053,15,25.4,2,Counter drilling tool
1,2,5,1,7.92,0.056,20,31.75,2,Counter drilling tool
1,2,5,4,7.92,0.056,25,38.1,2,Counter drilling tool
1,2,5,3,7.92,0.058,29,50.8,2,Counter drilling tool
1,2,5,1,7.92,0.066,33,76.2,2,Counter drilling tool
1,2,5,3,7.92,0.066,37,101.6,2,Counter drilling tool
1,2,5,4,7.92,0.066,40,152.4,2,Counter drilling tool
1,2,5,3,7.92,0.066,45,304.8,2,Counter drilling tool
1,2,5,5,5.79,0.023,0.5,1.6,4,Counter drilling tool
1,2,5,2,8.23,0.025,1,3.175,4,Counter drilling tool
1,2,5,1,8.53,0.036,2,6.35,4,Counter drilling tool
1,2,5,1,9.14,0.043,3,9.652,4,Counter drilling tool
1,2,5,4,9.75,0.051,5,12.7,4,Counter drilling tool
1,2,5,3,10.67,0.053,8,19.05,4,Counter drilling tool
1,2,5,4,11.28,0.058,15,25.4,4,Counter drilling tool
1,2,5,2,11.28,0.061,20,31.75,4,Counter drilling tool
1,2,5,2,11.58,0.061,25,38.1,4,Counter drilling tool
1,2,5,1,11.58,0.064,29,50.8,4,Counter drilling tool
1,2,5,1,11.58,0.071,33,76.2,4,Counter drilling tool
1,2,5,5,11.58,0.071,37,101.6,4,Counter drilling tool
1,2,5,4,11.58,0.071,40,152.4,4,Counter drilling tool
1,2,5,5,11.58,0.071,45,304.8,4,Counter drilling tool
1,3,5,2,12.5,0.018,0.5,1.6,1,Counter sinking tool
1,3,5,2,16.46,0.036,1,3.175,1,Counter sinking tool
1,3,5,2,19.81,0.064,2,6.35,1,Counter sinking tool
1,3,5,1,20.42,0.064,3,9.652,1,Counter sinking tool
1,3,5,5,20.42,0.071,5,12.7,1,Counter sinking tool
1,3,5,3,20.42,0.091,8,19.05,1,Counter sinking tool
1,3,5,3,20.42,0.099,15,25.4,1,Counter sinking tool
1,3,5,1,20.42,0.117,20,31.75,1,Counter sinking tool
1,3,5,5,20.42,0.127,25,38.1,1,Counter sinking tool
1,3,5,3,21.03,0.127,29,50.8,1,Counter sinking tool
1,3,5,1,21.03,0.142,33,76.2,1,Counter sinking tool
1,3,5,2,21.03,0.152,37,101.6,1,Counter sinking tool
1,3,5,2,21.03,0.163,40,152.4,1,Counter sinking tool
1,3,5,4,21.03,0.18,45,304.8,1,Counter sinking tool
1,3,5,2,5.49,0.02,0.5,1.6,3,Counter sinking tool
1,3,5,2,7.62,0.023,1,3.175,3,Counter sinking tool
1,3,5,3,7.92,0.036,2,6.35,3,Counter sinking tool
1,3,5,5,8.23,0.041,3,9.652,3,Counter sinking tool
1,3,5,4,9.14,0.048,5,12.7,3,Counter sinking tool
1,3,5,5,9.75,0.051,8,19.05,3,Counter sinking tool
1,3,5,4,10.36,0.056,15,25.4,3,Counter sinking tool
1,3,5,5,10.36,0.058,20,31.75,3,Counter sinking tool
1,3,5,4,10.67,0.058,25,38.1,3,Counter sinking tool
1,3,5,4,10.67,0.061,29,50.8,3,Counter sinking tool
1,3,5,3,10.67,0.069,33,76.2,3,Counter sinking tool
1,3,5,4,10.67,0.069,37,101.6,3,Counter sinking tool
1,3,5,4,10.67,0.069,40,152.4,3,Counter sinking tool
1,3,5,2,10.67,0.069,45,304.8,3,Counter sinking tool
1,3,5,1,3.96,0.02,0.5,1.6,2,Counter sinking tool
1,3,5,3,5.79,0.023,1,3.175,2,Counter sinking tool
1,3,5,2,6.1,0.033,2,6.35,2,Counter sinking tool
1,3,5,2,6.4,0.041,3,9.652,2,Counter sinking tool
1,3,5,4,6.71,0.046,5,12.7,2,Counter sinking tool
1,3,5,5,7.32,0.048,8,19.05,2,Counter sinking tool
1,3,5,5,7.62,0.053,15,25.4,2,Counter sinking tool
1,3,5,3,7.92,0.056,20,31.75,2,Counter sinking tool
1,3,5,4,7.92,0.056,25,38.1,2,Counter sinking tool
1,3,5,3,7.92,0.058,29,50.8,2,Counter sinking tool
1,3,5,3,7.92,0.066,33,76.2,2,Counter sinking tool
1,3,5,2,7.92,0.066,37,101.6,2,Counter sinking tool
1,3,5,1,7.92,0.066,40,152.4,2,Counter sinking tool
1,3,5,2,7.92,0.066,45,304.8,2,Counter sinking tool
1,3,5,3,5.79,0.023,0.5,1.6,4,Counter sinking tool
1,3,5,4,8.23,0.025,1,3.175,4,Counter sinking tool
1,3,5,5,8.53,0.036,2,6.35,4,Counter sinking tool
1,3,5,5,9.14,0.043,3,9.652,4,Counter sinking tool
1,3,5,3,9.75,0.051,5,12.7,4,Counter sinking tool
1,3,5,1,10.67,0.053,8,19.05,4,Counter sinking tool
1,3,5,4,11.28,0.058,15,25.4,4,Counter sinking tool
1,3,5,3,11.28,0.061,20,31.75,4,Counter sinking tool
1,3,5,2,11.58,0.061,25,38.1,4,Counter sinking tool
1,3,5,4,11.58,0.064,29,50.8,4,Counter sinking tool
1,3,5,4,11.58,0.071,33,76.2,4,Counter sinking tool
1,3,5,2,11.58,0.071,37,101.6,4,Counter sinking tool
1,3,5,3,11.58,0.071,40,152.4,4,Counter sinking tool
1,3,5,1,11.58,0.071,45,304.8,4,Counter sinking tool
1,5,1,3,126.8,0.056,0.254,1.6,1,Bore tool
1,5,1,2,123.75,0.074,0.813,3.175,1,Bore tool
1,5,1,2,116.74,0.099,1.575,6.35,1,Bore tool
1,5,1,2,112.78,0.107,3.175,9.652,1,Bore tool
1,5,1,2,108.81,0.132,6.35,12.7,1,Bore tool
1,5,1,2,32.61,0.048,0.254,1.6,2,Bore tool
1,5,1,3,30.78,0.066,0.813,3.175,2,Bore tool
1,5,1,5,29.57,0.081,1.575,6.35,2,Bore tool
1,5,1,2,27.74,0.107,3.175,9.652,2,Bore tool
1,5,1,4,23.77,0.117,6.35,12.7,2,Bore tool
1,5,1,3,297.18,0.099,0.254,1.6,5,Bore tool
1,5,1,5,277.37,0.117,0.813,3.175,5,Bore tool
1,5,1,1,257.56,0.117,1.575,6.35,5,Bore tool
1,5,1,1,237.74,0.132,3.175,9.652,5,Bore tool
1,5,1,4,227.69,0.163,6.35,12.7,5,Bore tool
1,5,2,4,107.29,0.051,0.254,1.6,1,Bore tool
1,5,2,3,104.85,0.069,0.813,3.175,1,Bore tool
1,5,2,4,99.06,0.089,1.575,6.35,1,Bore tool
1,5,2,4,95.71,0.096,3.175,9.652,1,Bore tool
1,5,2,1,92.35,0.119,6.35,12.7,1,Bore tool
1,5,2,5,35.05,0.041,0.254,1.6,2,Bore tool
1,5,2,3,32.92,0.056,0.813,3.175,2,Bore tool
1,5,2,2,32,0.069,1.575,6.35,2,Bore tool
1,5,2,4,29.87,0.091,3.175,9.652,2,Bore tool
1,5,2,3,25.6,0.099,6.35,12.7,2,Bore tool
1,5,2,5,256.03,0.099,0.254,1.6,5,Bore tool
1,5,2,4,238.96,0.117,0.813,3.175,5,Bore tool
1,5,2,5,221.89,0.117,1.575,6.35,5,Bore tool
1,5,2,5,204.83,0.132,3.175,9.652,5,Bore tool
1,5,2,1,196.29,0.165,6.35,12.7,5,Bore tool
1,5,3,1,610.51,0.066,0.254,1.6,1,Bore tool
1,5,3,5,596.19,0.086,0.813,3.175,1,Bore tool
1,5,3,4,562.97,0.114,1.575,6.35,1,Bore tool
1,5,3,1,543.76,0.124,3.175,9.652,1,Bore tool
1,5,3,5,524.87,0.152,6.35,12.7,1,Bore tool
1,5,3,1,236.83,0.038,0.254,1.6,2,Bore tool
1,5,3,1,222.5,0.053,0.813,3.175,2,Bore tool
1,5,3,2,215.49,0.066,1.575,6.35,2,Bore tool
1,5,3,2,200.86,0.086,3.175,9.652,2,Bore tool
1,5,3,2,172.21,0.094,6.35,12.7,2,Bore tool
1,5,3,5,457.2,0.124,0.254,1.6,5,Bore tool
1,5,3,2,426.72,0.147,0.813,3.175,5,Bore tool
1,5,3,4,396.24,0.147,1.575,6.35,5,Bore tool
1,5,3,2,365.76,0.168,3.175,9.652,5,Bore tool
1,5,3,3,350.52,0.208,6.35,12.7,5,Bore tool
1,5,4,2,24.99,0.056,0.254,1.6,1,Bore tool
1,5,4,4,23.77,0.076,0.813,3.175,1,Bore tool
1,5,4,5,22.86,0.094,1.575,6.35,1,Bore tool
1,5,4,1,21.34,0.124,3.175,9.652,1,Bore tool
1,5,4,5,18.29,0.135,6.35,12.7,1,Bore tool
1,5,4,5,83.82,0.081,0.254,1.6,2,Bore tool
1,5,4,1,81.99,0.104,0.813,3.175,2,Bore tool
1,5,4,5,77.42,0.14,1.575,6.35,2,Bore tool
1,5,4,2,74.68,0.152,3.175,9.652,2,Bore tool
1,5,4,4,72.24,0.185,6.35,12.7,2,Bore tool
1,5,4,5,146.3,0.13,0.254,1.6,5,Bore tool
1,5,4,4,136.55,0.152,0.813,3.175,5,Bore tool
1,5,4,3,126.8,0.152,1.575,6.35,5,Bore tool
1,5,4,3,117.04,0.173,3.175,9.652,5,Bore tool
1,5,4,4,112.17,0.216,6.35,12.7,5,Bore tool
1,5,5,2,23.47,0.053,0.254,1.6,1,Bore tool
1,5,5,1,22.86,0.069,0.813,3.175,1,Bore tool
1,5,5,3,21.64,0.091,1.575,6.35,1,Bore tool
1,5,5,4,20.73,0.099,3.175,9.652,1,Bore tool
1,5,5,2,20.12,0.122,6.35,12.7,1,Bore tool
1,5,5,4,6.1,0.046,0.254,1.6,2,Bore tool
1,5,5,3,5.79,0.061,0.813,3.175,2,Bore tool
1,5,5,5,5.49,0.076,1.575,6.35,2,Bore tool
1,5,5,1,5.18,0.099,3.175,9.652,2,Bore tool
1,5,5,1,4.27,0.107,6.35,12.7,2,Bore tool
1,5,5,1,27.43,0.056,0.254,1.6,5,Bore tool
1,5,5,4,25.6,0.066,0.813,3.175,5,Bore tool
1,5,5,5,23.77,0.066,1.575,6.35,5,Bore tool
1,5,5,3,21.95,0.076,3.175,9.652,5,Bore tool
1,5,5,4,21.03,0.094,6.35,12.7,5,Bore tool
2,6,1,3,124.36,0.038,0.508,6.264748607,1,End mill cutter
2,6,1,1,108.81,0.046,1.016,5.868309119,1,End mill cutter
2,6,1,3,92.96,0.056,1.524,0.328269131,1,End mill cutter
2,6,1,4,90.22,0.046,2.54,2.742537559,1,End mill cutter
2,6,1,4,86.56,0.038,3.175,4.936738855,1,End mill cutter
2,6,1,5,79.25,0.03,6.35,1.667636207,1,End mill cutter
2,6,1,5,75.59,0.028,9.525,0.051262386,1,End mill cutter
2,6,1,2,74.98,0.025,12.7,4.798869653,1,End mill cutter
2,6,1,3,74.98,0.023,19.05,3.455747898,1,End mill cutter
2,6,1,3,74.37,0.023,25.4,0.368013236,1,End mill cutter
2,6,1,2,73.76,0.02,44.45,3.311492981,1,End mill cutter
2,6,1,5,118.59,0.046,0.508,7.460867101,1,End mill cutter
2,6,1,4,103.8,0.056,1.016,10.23333851,1,End mill cutter
2,6,1,2,90.22,0.066,1.524,11.12097764,1,End mill cutter
2,6,1,1,88.41,0.056,2.54,11.80297981,1,End mill cutter
2,6,1,2,83.89,0.046,3.175,8.157533582,1,End mill cutter
2,6,1,5,75.74,0.038,6.35,12.51152263,1,End mill cutter
2,6,1,4,71.21,0.03,9.525,9.642982248,1,End mill cutter
2,6,1,1,69.1,0.03,12.7,6.40661368,1,End mill cutter
2,6,1,5,68.5,0.025,19.05,6.773633797,1,End mill cutter
2,6,1,5,67.59,0.023,25.4,7.664656743,1,End mill cutter
2,6,1,4,66.39,0.02,44.45,7.204062909,1,End mill cutter
2,6,1,5,115.87,0.056,0.508,16.19401448,1,End mill cutter
2,6,1,4,102.29,0.066,1.016,15.07432467,1,End mill cutter
2,6,1,3,88.41,0.074,1.524,14.58576583,1,End mill cutter
2,6,1,4,83.89,0.066,2.54,17.2801658,1,End mill cutter
2,6,1,4,80.27,0.056,3.175,18.06104618,1,End mill cutter
2,6,1,3,73.02,0.046,6.35,16.66578716,1,End mill cutter
2,6,1,3,67.59,0.038,9.525,17.28228666,1,End mill cutter
2,6,1,3,66.99,0.033,12.7,18.66506361,1,End mill cutter
2,6,1,5,66.39,0.028,19.05,14.38195097,1,End mill cutter
2,6,1,2,66.39,0.028,25.4,15.67201762,1,End mill cutter
2,6,1,4,65.78,0.025,44.45,18.80769877,1,End mill cutter
2,6,1,2,109.54,0.094,0.508,22.39681716,1,End mill cutter
2,6,1,5,95.05,0.102,1.016,25.09469209,1,End mill cutter
2,6,1,5,83.89,0.112,1.524,19.10581567,1,End mill cutter
2,6,1,4,78.46,0.102,2.54,22.07776094,1,End mill cutter
2,6,1,3,74.83,0.094,3.175,22.63360579,1,End mill cutter
2,6,1,3,69.1,0.084,6.35,23.21858327,1,End mill cutter
2,6,1,5,63.97,0.074,9.525,19.33834747,1,End mill cutter
2,6,1,3,63.67,0.071,12.7,23.47492783,1,End mill cutter
2,6,1,5,63.67,0.069,19.05,23.37063678,1,End mill cutter
2,6,1,1,63.07,0.064,25.4,21.29867186,1,End mill cutter
2,6,1,5,63.07,0.056,44.45,23.2856928,1,End mill cutter
2,6,1,5,100.48,0.132,0.508,28.79941102,1,End mill cutter
2,6,1,1,89.32,0.14,1.016,35.96211788,1,End mill cutter
2,6,1,2,82.08,0.147,1.524,32.23884634,1,End mill cutter
2,6,1,4,72.12,0.132,2.54,29.0852429,1,End mill cutter
2,6,1,4,68.5,0.112,3.175,28.90076969,1,End mill cutter
2,6,1,3,63.97,0.102,6.35,30.80794926,1,End mill cutter
2,6,1,2,56.43,0.094,9.525,30.32183944,1,End mill cutter
2,6,1,5,56.43,0.086,12.7,28.85306662,1,End mill cutter
2,6,1,3,56.13,0.081,19.05,30.30420627,1,End mill cutter
2,6,1,1,55.82,0.074,25.4,30.25171651,1,End mill cutter
2,6,1,1,55.22,0.071,44.45,32.75740201,1,End mill cutter
2,6,1,1,95.66,0.132,0.508,40.68292681,1,End mill cutter
2,6,1,1,87.51,0.14,1.016,39.58031803,1,End mill cutter
2,6,1,4,78.46,0.132,1.524,44.67308108,1,End mill cutter
2,6,1,2,73.02,0.112,2.54,50.4915965,1,End mill cutter
2,6,1,3,65.78,0.102,3.175,43.30125823,1,End mill cutter
2,6,1,4,60.35,0.096,6.35,41.20703105,1,End mill cutter
2,6,1,1,55.82,0.089,9.525,49.09092633,1,End mill cutter
2,6,1,5,55.52,0.086,12.7,38.70134371,1,End mill cutter
2,6,1,5,55.22,0.081,19.05,40.44049534,1,End mill cutter
2,6,1,3,54.92,0.081,25.4,45.69536286,1,End mill cutter
2,6,1,3,54.62,0.079,44.45,49.52029672,1,End mill cutter
2,6,1,2,41.45,0.02,0.508,2.98067115,2,End mill cutter
2,6,1,3,41.45,0.028,1.016,4.897612427,2,End mill cutter
2,6,1,5,34.14,0.038,1.524,4.197461713,2,End mill cutter
2,6,1,4,33.22,0.028,2.54,0.543989439,2,End mill cutter
2,6,1,4,31.39,0.02,3.175,3.22570182,2,End mill cutter
2,6,1,4,29.57,0.015,6.35,5.841929519,2,End mill cutter
2,6,1,4,27.74,0.013,9.525,0.408618087,2,End mill cutter
2,6,1,3,27.43,0.01,12.7,0.085922934,2,End mill cutter
2,6,1,5,27.13,0.008,19.05,5.920553449,2,End mill cutter
2,6,1,1,26.82,0.008,25.4,4.312143333,2,End mill cutter
2,6,1,2,26.82,0.005,44.45,3.27218551,2,End mill cutter
2,6,1,3,45.42,0.028,0.508,12.10952559,2,End mill cutter
2,6,1,1,40.84,0.038,1.016,11.42330509,2,End mill cutter
2,6,1,3,33.22,0.046,1.524,12.52620298,2,End mill cutter
2,6,1,3,32.31,0.038,2.54,9.474406745,2,End mill cutter
2,6,1,1,31.39,0.028,3.175,8.611090979,2,End mill cutter
2,6,1,4,29.57,0.023,6.35,9.810476213,2,End mill cutter
2,6,1,4,26.82,0.018,9.525,7.057171927,2,End mill cutter
2,6,1,3,26.82,0.013,12.7,11.95601139,2,End mill cutter
2,6,1,4,26.52,0.01,19.05,7.451005066,2,End mill cutter
2,6,1,1,26.52,0.008,25.4,12.4084448,2,End mill cutter
2,6,1,4,26.21,0.008,44.45,8.434600369,2,End mill cutter
2,6,1,3,44.2,0.038,0.508,18.14681184,2,End mill cutter
2,6,1,3,40.54,0.046,1.016,17.56600711,2,End mill cutter
2,6,1,2,32.31,0.056,1.524,15.74962351,2,End mill cutter
2,6,1,2,31.39,0.046,2.54,18.63333081,2,End mill cutter
2,6,1,3,30.18,0.038,3.175,14.99589346,2,End mill cutter
2,6,1,4,28.65,0.028,6.35,15.16366888,2,End mill cutter
2,6,1,1,30.48,0.02,9.525,18.35528231,2,End mill cutter
2,6,1,3,26.52,0.018,12.7,17.94818432,2,End mill cutter
2,6,1,3,26.21,0.015,19.05,14.79327917,2,End mill cutter
2,6,1,2,26.21,0.01,25.4,18.43789197,2,End mill cutter
2,6,1,3,25.6,0.008,44.45,13.30621123,2,End mill cutter
2,6,1,1,41.45,0.074,0.508,21.28541054,2,End mill cutter
2,6,1,1,37.8,0.084,1.016,23.29124933,2,End mill cutter
2,6,1,3,31.39,0.094,1.524,23.64924457,2,End mill cutter
2,6,1,5,29.87,0.084,2.54,23.56523331,2,End mill cutter
2,6,1,2,28.65,0.074,3.175,23.02067591,2,End mill cutter
2,6,1,5,26.82,0.066,6.35,22.79177737,2,End mill cutter
2,6,1,4,24.99,0.056,9.525,21.91375062,2,End mill cutter
2,6,1,2,24.69,0.048,12.7,23.58750943,2,End mill cutter
2,6,1,5,24.69,0.043,19.05,22.83871552,2,End mill cutter
2,6,1,3,24.08,0.041,25.4,21.49058729,2,End mill cutter
2,6,1,5,24.08,0.038,44.45,20.4243901,2,End mill cutter
2,6,1,5,38.71,0.094,0.508,36.68820893,2,End mill cutter
2,6,1,5,34.14,0.102,1.016,25.51534949,2,End mill cutter
2,6,1,5,30.18,0.112,1.524,27.91218802,2,End mill cutter
2,6,1,4,29.26,0.102,2.54,37.6758202,2,End mill cutter
2,6,1,2,27.74,0.094,3.175,31.41505481,2,End mill cutter
2,6,1,2,25.6,0.084,6.35,25.55292436,2,End mill cutter
2,6,1,3,24.08,0.112,9.525,34.13518581,2,End mill cutter
2,6,1,2,23.47,0.071,12.7,30.19025024,2,End mill cutter
2,6,1,4,23.47,0.066,19.05,32.7874271,2,End mill cutter
2,6,1,1,23.16,0.058,25.4,35.08257503,2,End mill cutter
2,6,1,4,23.16,0.056,44.45,32.9996304,2,End mill cutter
2,6,1,1,37.8,0.096,0.508,40.64263956,2,End mill cutter
2,6,1,2,33.22,0.104,1.016,40.38132712,2,End mill cutter
2,6,1,5,29.26,0.112,1.524,47.60582492,2,End mill cutter
2,6,1,1,28.04,0.099,2.54,43.4783723,2,End mill cutter
2,6,1,5,26.82,0.084,3.175,43.94356808,2,End mill cutter
2,6,1,4,24.99,0.081,6.35,41.83336894,2,End mill cutter
2,6,1,4,22.86,0.074,9.525,44.24651554,2,End mill cutter
2,6,1,5,22.86,0.069,12.7,46.88992658,2,End mill cutter
2,6,1,3,22.86,0.069,19.05,40.92897772,2,End mill cutter
2,6,1,3,22.56,0.066,25.4,49.39634119,2,End mill cutter
2,6,1,4,22.56,0.066,44.45,42.79410306,2,End mill cutter
2,6,2,5,110.95,0.018,0.508,2.960410582,1,End mill cutter
2,6,2,2,96.93,0.023,1.016,0.863597763,1,End mill cutter
2,6,2,2,83.21,0.028,1.524,0.179451345,1,End mill cutter
2,6,2,3,80.47,0.023,2.54,5.541092514,1,End mill cutter
2,6,2,4,77.11,0.018,3.175,2.293151822,1,End mill cutter
2,6,2,4,70.71,0.015,6.35,5.433869195,1,End mill cutter
2,6,2,1,67.36,0.015,9.525,6.030951014,1,End mill cutter
2,6,2,2,67.06,0.013,12.7,4.98772318,1,End mill cutter
2,6,2,1,66.75,0.013,19.05,0.54841493,1,End mill cutter
2,6,2,2,66.14,0.01,25.4,2.695051817,1,End mill cutter
2,6,2,4,65.84,0.01,44.45,0.439387636,1,End mill cutter
2,6,2,1,106.68,0.023,0.508,12.0234902,1,End mill cutter
2,6,2,4,93.57,0.028,1.016,10.74870789,1,End mill cutter
2,6,2,1,81.38,0.033,1.524,10.80511624,1,End mill cutter
2,6,2,5,79.86,0.028,2.54,11.95362538,1,End mill cutter
2,6,2,2,75.59,0.023,3.175,11.50624461,1,End mill cutter
2,6,2,5,68.28,0.018,6.35,8.428884672,1,End mill cutter
2,6,2,5,64.31,0.015,9.525,7.722387635,1,End mill cutter
2,6,2,5,62.48,0.015,12.7,8.325041945,1,End mill cutter
2,6,2,5,61.57,0.013,19.05,7.538872461,1,End mill cutter
2,6,2,3,60.96,0.013,25.4,7.096981951,1,End mill cutter
2,6,2,1,60.05,0.01,44.45,10.14451377,1,End mill cutter
2,6,2,3,104.55,0.028,0.508,14.11711739,1,End mill cutter
2,6,2,3,92.05,0.033,1.016,13.06793198,1,End mill cutter
2,6,2,1,79.86,0.038,1.524,13.62744001,1,End mill cutter
2,6,2,5,75.59,0.033,2.54,16.71032069,1,End mill cutter
2,6,2,2,72.24,0.028,3.175,17.99249771,1,End mill cutter
2,6,2,3,65.84,0.023,6.35,13.70792958,1,End mill cutter
2,6,2,5,60.96,0.018,9.525,18.20022129,1,End mill cutter
2,6,2,4,60.35,0.018,12.7,13.07166951,1,End mill cutter
2,6,2,3,60.05,0.015,19.05,16.28088615,1,End mill cutter
2,6,2,2,59.74,0.015,25.4,15.57550673,1,End mill cutter
2,6,2,3,59.13,0.013,44.45,14.3188292,1,End mill cutter
2,6,2,1,98.76,0.048,0.508,19.45236788,1,End mill cutter
2,6,2,4,85.65,0.053,1.016,23.81239587,1,End mill cutter
2,6,2,3,75.59,0.056,1.524,20.38836751,1,End mill cutter
2,6,2,2,70.71,0.053,2.54,19.49457997,1,End mill cutter
2,6,2,2,67.36,0.048,3.175,24.70014261,1,End mill cutter
2,6,2,2,62.48,0.043,6.35,23.94278002,1,End mill cutter
2,6,2,2,57.61,0.038,9.525,21.17381032,1,End mill cutter
2,6,2,1,57.3,0.036,12.7,23.3488925,1,End mill cutter
2,6,2,4,57.3,0.036,19.05,25.14310582,1,End mill cutter
2,6,2,3,56.69,0.033,25.4,21.47489836,1,End mill cutter
2,6,2,5,56.69,0.028,44.45,20.7963636,1,End mill cutter
2,6,2,1,90.53,0.066,0.508,36.43956904,1,End mill cutter
2,6,2,5,80.47,0.071,1.016,32.32996142,1,End mill cutter
2,6,2,5,73.76,0.076,1.524,26.85570407,1,End mill cutter
2,6,2,3,64.92,0.066,2.54,35.84919123,1,End mill cutter
2,6,2,3,61.57,0.056,3.175,26.64720042,1,End mill cutter
2,6,2,4,57.61,0.053,6.35,36.5655284,1,End mill cutter
2,6,2,1,50.9,0.048,9.525,31.0082611,1,End mill cutter
2,6,2,5,50.6,0.043,12.7,37.52134575,1,End mill cutter
2,6,2,2,50.6,0.041,19.05,31.12998826,1,End mill cutter
2,6,2,5,50.29,0.038,25.4,27.81850637,1,End mill cutter
2,6,2,3,49.99,0.036,44.45,37.52125944,1,End mill cutter
2,6,2,5,86.26,0.066,0.508,43.20832592,1,End mill cutter
2,6,2,1,78.94,0.071,1.016,39.58234934,1,End mill cutter
2,6,2,1,70.71,0.066,1.524,45.04502531,1,End mill cutter
2,6,2,2,65.84,0.056,2.54,38.91629147,1,End mill cutter
