Feature,Operation,Work Material,Speed,feed per tooth,No. of tooth,Dia. Of tool,Cutting tool material,Depth of cut,Feed,Spindle speed
1,5,1,112.78,0.107,1,9.652,1,3.175,0.107,3720.033412
1,5,1,108.81,0.132,1,12.7,1,6.35,0.132,2727.70345
1,5,1,32.61,0.048,1,1.6,2,0.254,0.048,6488.777459
1,5,1,30.78,0.066,1,3.175,2,0.813,0.066,3086.43368
1,5,1,29.57,0.081,1,6.35,2,1.575,0.081,1482.551071
1,5,1,27.74,0.107,1,9.652,2,3.175,0.107,915.0002382
1,5,1,23.77,0.117,1,12.7,2,6.35,0.117,595.8782373
1,5,1,297.18,0.099,1,1.6,5,0.254,0.099,59133.23782
1,5,1,277.37,0.117,1,3.175,5,0.813,0.117,27812.99902
1,5,1,257.56,0.117,1,6.35,5,1.575,0.117,12913.28555
1,5,1,237.74,0.132,1,9.652,5,3.175,0.132,7841.822517
1,5,1,227.69,0.163,1,12.7,5,6.35,0.163,5707.846691
1,5,2,107.29,0.051,1,1.6,1,0.254,0.051,21348.69468
1,5,2,104.85,0.069,1,3.175,1,0.813,0.069,10513.72876
1,5,2,99.06,0.089,1,6.35,1,1.575,0.089,4966.571156
1,5,2,95.71,0.096,1,9.652,1,3.175,0.096,3156.981716
1,5,2,92.35,0.119,1,12.7,1,6.35,0.119,2315.075945
1,5,2,35.05,0.041,1,1.6,2,0.254,0.041,6974.291627
1,5,2,32.92,0.056,1,3.175,2,0.813,0.056,3301.020037
1,5,2,32,0.069,1,6.35,2,1.575,0.069,1604.383979
1,5,2,29.87,0.091,1,9.652,2,3.175,0.091,985.258007
1,5,2,25.6,0.099,1,12.7,2,6.35,0.099,641.7535917
1,5,2,256.03,0.099,1,1.6,5,0.254,0.099,50945.16078
1,5,2,238.96,0.117,1,3.175,5,0.813,0.117,23961.47473
1,5,2,221.89,0.117,1,6.35,5,1.575,0.117,11124.89879
1,5,2,204.83,0.132,1,9.652,5,3.175,0.132,6756.290511
1,5,2,196.29,0.165,1,12.7,5,6.35,0.165,4920.695801
1,5,3,610.51,0.066,1,1.6,1,0.254,0.066,121480.0223
1,5,3,596.19,0.086,1,3.175,1,0.813,0.086,59782.35529
1,5,3,562.97,0.114,1,6.35,1,1.575,0.114,28225.62652
1,5,3,543.76,0.124,1,9.652,1,3.175,0.124,17935.85182
1,5,3,524.87,0.152,1,12.7,1,6.35,0.152,13157.70342
1,5,3,236.83,0.038,1,1.6,2,0.254,0.038,47124.72143
1,5,3,222.5,0.053,1,3.175,2,0.813,0.053,22310.96471
1,5,3,215.49,0.066,1,6.35,2,1.575,0.066,10804.02199
1,5,3,200.86,0.086,1,9.652,2,3.175,0.086,6625.340585
1,5,3,172.21,0.094,1,12.7,2,6.35,0.094,4317.046329
1,5,3,457.2,0.124,1,1.6,5,0.254,0.124,90974.21203
1,5,3,426.72,0.147,1,3.175,5,0.813,0.147,42788.92073
1,5,3,396.24,0.147,1,6.35,5,1.575,0.147,19866.28462
1,5,3,365.76,0.168,1,9.652,5,3.175,0.168,12064.54532
1,5,3,350.52,0.208,1,12.7,5,6.35,0.208,8787.010506
1,5,4,24.99,0.056,1,1.6,1,0.254,0.056,4972.540592
1,5,4,23.77,0.076,1,3.175,1,0.813,0.076,2383.512949
1,5,4,22.86,0.094,1,6.35,1,1.575,0.094,1146.131805
1,5,4,21.34,0.124,1,9.652,1,3.175,0.124,703.897083
1,5,4,18.29,0.135,1,12.7,1,6.35,0.135,458.5028591
1,5,4,83.82,0.081,1,1.6,2,0.254,0.081,16678.60554
1,5,4,81.99,0.104,1,3.175,2,0.813,0.104,8221.465154
1,5,4,77.42,0.14,1,6.35,2,1.575,0.14,3881.60649
1,5,4,74.68,0.152,1,9.652,2,3.175,0.152,2463.309942
1,5,4,72.24,0.185,1,12.7,2,6.35,0.185,1810.948417
1,5,4,146.3,0.13,1,1.6,5,0.254,0.13,29110.95193
1,5,4,136.55,0.152,1,3.175,5,0.813,0.152,13692.41452
1,5,4,126.8,0.152,1,6.35,5,1.575,0.152,6357.371518
1,5,4,117.04,0.173,1,9.652,5,3.175,0.173,3860.54895
1,5,4,112.17,0.216,1,12.7,5,6.35,0.216,2811.933609
1,5,5,23.47,0.053,1,1.6,1,0.254,0.053,4670.089144
1,5,5,22.86,0.069,1,3.175,1,0.813,0.069,2292.26361
1,5,5,21.64,0.091,1,6.35,1,1.575,0.091,1084.964666
1,5,5,20.73,0.099,1,9.652,1,3.175,0.099,683.7763135
1,5,5,20.12,0.122,1,12.7,1,6.35,0.122,504.3782135
1,5,5,6.1,0.046,1,1.6,2,0.254,0.046,1213.785419
1,5,5,5.79,0.061,1,3.175,2,0.813,0.061,580.5864525
1,5,5,5.49,0.076,1,6.35,2,1.575,0.076,275.2521264
1,5,5,5.18,0.099,1,9.652,2,3.175,0.099,170.8616162
1,5,5,4.27,0.107,1,12.7,2,6.35,0.107,107.0424936
1,5,5,27.43,0.056,1,1.6,5,0.254,0.056,5458.05476
1,5,5,25.6,0.066,1,3.175,5,0.813,0.066,2567.014367
1,5,5,23.77,0.066,1,6.35,5,1.575,0.066,1191.756475
1,5,5,21.95,0.076,1,9.652,5,3.175,0.076,724.0178525
1,5,5,21.03,0.094,1,12.7,5,6.35,0.094,527.1905482
2,6,1,124.36,0.038,2,6.142736942,1,0.508,0.076,6445.414616
2,6,1,108.81,0.046,2,4.458468087,1,1.016,0.092,7769.896102
2,6,1,92.96,0.056,2,4.945531929,1,1.524,0.112,5984.324961
2,6,1,90.22,0.046,2,1.434014707,1,2.54,0.092,20030.0153
2,6,1,86.56,0.038,2,2.262458328,1,3.175,0.076,12180.60115
2,6,1,79.25,0.03,3,1.423554624,1,6.35,0.09,17723.81459
2,6,1,75.59,0.028,2,1.547279374,1,9.525,0.056,15553.4835
2,6,1,74.98,0.025,3,0.160267253,1,12.7,0.075,148947.3249
2,6,1,74.98,0.023,3,4.830367936,1,19.05,0.069,4941.937935
2,6,1,74.37,0.023,2,4.029731893,1,25.4,0.046,5875.619893
2,6,1,73.76,0.02,2,5.571660191,1,44.45,0.04,4214.716333
2,6,1,118.59,0.046,2,11.36512887,1,0.508,0.092,3322.046967
2,6,1,103.8,0.056,3,8.401311314,1,1.016,0.168,3933.528844
2,6,1,90.22,0.066,3,6.822265298,1,1.524,0.198,4210.234469
2,6,1,88.41,0.056,3,8.185378118,1,2.54,0.168,3438.703321
2,6,1,83.89,0.046,3,6.906396297,1,3.175,0.138,3867.147729
2,6,1,75.74,0.038,3,10.58559239,1,6.35,0.114,2277.939563
2,6,1,71.21,0.03,2,9.281425879,1,9.525,0.06,2442.633723
2,6,1,69.1,0.03,2,12.31487541,1,12.7,0.06,1786.405671
2,6,1,68.5,0.025,2,12.10910166,1,19.05,0.05,1800.987546
2,6,1,67.59,0.023,2,12.00720413,1,25.4,0.046,1792.142818
2,6,1,66.39,0.02,2,8.878959026,1,44.45,0.04,2380.524636
2,6,1,115.87,0.056,2,16.66964403,1,0.508,0.112,2212.976208
2,6,1,102.29,0.066,3,15.06056838,1,1.016,0.198,2162.339491
2,6,1,88.41,0.074,2,14.81751876,1,1.524,0.148,1899.581662
2,6,1,83.89,0.066,3,16.14779011,1,2.54,0.198,1653.975843
2,6,1,80.27,0.056,3,17.95114221,1,3.175,0.168,1423.617242
2,6,1,73.02,0.046,2,14.56348704,1,6.35,0.092,1596.277964
2,6,1,67.59,0.038,2,15.44354775,1,9.525,0.076,1393.373141
2,6,1,66.99,0.033,3,15.68330114,1,12.7,0.099,1359.892441
2,6,1,66.39,0.028,2,16.4163786,1,19.05,0.056,1287.530047
2,6,1,66.39,0.028,3,13.89075546,1,25.4,0.084,1521.629314
2,6,1,65.78,0.025,2,16.75119719,1,44.45,0.05,1250.20169
2,6,1,109.54,0.094,2,21.11779675,1,0.508,0.188,1651.414884
2,6,1,95.05,0.102,2,23.98416942,1,1.016,0.204,1261.709873
2,6,1,83.89,0.112,2,23.10547512,1,1.524,0.224,1155.918873
2,6,1,78.46,0.102,2,20.73722536,1,2.54,0.204,1204.563558
2,6,1,74.83,0.094,3,23.71176159,1,3.175,0.282,1004.717552
2,6,1,69.1,0.084,3,20.21424973,1,6.35,0.252,1088.30966
2,6,1,63.97,0.074,2,24.77731734,1,9.525,0.148,821.9665253
2,6,1,63.67,0.071,2,23.04830837,1,12.7,0.142,879.4838273
2,6,1,63.67,0.069,3,23.23007195,1,19.05,0.207,872.6023104
2,6,1,63.07,0.064,3,21.98661913,1,25.4,0.192,913.2642163
2,6,1,63.07,0.056,2,22.79232187,1,44.45,0.112,880.98056
2,6,1,100.48,0.132,2,38.01449277,1,0.508,0.264,841.5162174
2,6,1,89.32,0.14,2,27.30824189,1,1.016,0.28,1041.326779
2,6,1,82.08,0.147,3,28.13409475,1,1.524,0.441,928.830495
2,6,1,72.12,0.132,2,28.01664426,1,2.54,0.264,819.5428503
2,6,1,68.5,0.112,2,37.26574504,1,3.175,0.224,585.2114661
2,6,1,63.97,0.102,2,28.97844607,1,6.35,0.204,702.8025378
2,6,1,56.43,0.094,3,36.93751997,1,9.525,0.282,486.3785133
2,6,1,56.43,0.086,3,34.19903367,1,12.7,0.258,525.325254
2,6,1,56.13,0.081,2,31.48556202,1,19.05,0.162,567.5650653
2,6,1,55.82,0.074,3,30.46885955,1,25.4,0.222,583.2647051
2,6,1,55.22,0.071,3,27.64106591,1,44.45,0.213,636.024257
2,6,1,95.66,0.132,3,47.96960971,1,0.508,0.396,634.8867377
2,6,1,87.51,0.14,3,42.02448275,1,1.016,0.42,662.9600686
2,6,1,78.46,0.132,2,48.98603679,1,1.524,0.264,509.9270647
2,6,1,73.02,0.112,3,44.80991168,1,2.54,0.336,518.7998051
2,6,1,65.78,0.102,3,39.57355349,1,3.175,0.306,529.2012769
2,6,1,60.35,0.096,2,38.95863392,1,6.35,0.192,493.1801838
2,6,1,55.82,0.089,2,48.87335197,1,9.525,0.178,363.6216806
2,6,1,55.52,0.086,2,41.8151609,1,12.7,0.172,422.7150874
2,6,1,55.22,0.081,2,50.77765559,1,19.05,0.162,346.2229243
2,6,1,54.92,0.081,2,42.84740937,1,25.4,0.162,408.0731527
2,6,1,54.62,0.079,3,46.59601164,1,44.45,0.237,373.1943106
2,6,1,41.45,0.02,3,5.710782578,2,0.508,0.06,2310.792624
2,6,1,41.45,0.028,4,4.672378701,2,1.016,0.112,2824.350315
2,6,1,34.14,0.038,4,5.438330522,2,1.524,0.152,1998.618861
2,6,1,33.22,0.028,3,4.147022683,2,2.54,0.084,2550.323548
2,6,1,31.39,0.02,3,0.276283579,2,3.175,0.06,36171.64887
2,6,1,29.57,0.015,3,5.624946389,2,6.35,0.045,1673.651382
2,6,1,27.74,0.013,3,4.069526447,2,9.525,0.039,2170.174445
2,6,1,27.43,0.01,3,2.101707924,2,12.7,0.03,4155.13855
2,6,1,27.13,0.008,3,6.308901534,2,19.05,0.024,1369.077736
2,6,1,26.82,0.008,3,2.783158133,2,25.4,0.024,3067.98304
2,6,1,26.82,0.005,3,0.835553695,2,44.45,0.015,10219.18998
2,6,1,45.42,0.028,3,6.810045476,2,0.508,0.084,2123.387134
2,6,1,40.84,0.038,4,10.00409783,2,1.016,0.152,1299.690268
2,6,1,33.22,0.046,3,11.59817515,2,1.524,0.138,911.8891089
2,6,1,32.31,0.038,4,9.807746427,2,2.54,0.152,1048.81718
2,6,1,31.39,0.028,4,11.64851618,2,3.175,0.112,857.9318124
2,6,1,29.57,0.023,4,7.74416911,2,6.35,0.092,1215.650016
2,6,1,26.82,0.018,3,11.64433018,2,9.525,0.054,733.2909509
2,6,1,26.82,0.013,3,12.53373088,2,12.7,0.039,681.2562064
2,6,1,26.52,0.01,3,10.27263582,2,19.05,0.03,821.9089151
2,6,1,26.52,0.008,3,8.158368677,2,25.4,0.024,1034.90922
2,6,1,26.21,0.008,4,10.44568908,2,44.45,0.032,798.8440221
2,6,1,44.2,0.038,3,15.84627726,2,0.508,0.114,888.0288647
2,6,1,40.54,0.046,4,15.34928338,2,1.016,0.184,840.8677645
2,6,1,32.31,0.056,3,14.03213699,2,1.524,0.168,733.069593
2,6,1,31.39,0.046,3,14.94234296,2,2.54,0.138,668.8129584
2,6,1,30.18,0.038,4,16.54414867,2,3.175,0.152,580.7736112
2,6,1,28.65,0.028,4,13.63241937,2,6.35,0.112,669.0887878
2,6,1,30.48,0.02,3,13.22458866,2,9.525,0.06,733.778282
2,6,1,26.52,0.018,3,14.56757617,2,12.7,0.054,579.586533
2,6,1,26.21,0.015,4,15.27441468,2,19.05,0.06,546.3041599
2,6,1,26.21,0.01,4,16.41604081,2,25.4,0.04,508.3123501
2,6,1,25.6,0.008,3,18.87899896,2,44.45,0.024,431.710952
2,6,1,41.45,0.074,4,19.38271842,2,0.508,0.296,680.83506
2,6,1,37.8,0.084,3,19.22165999,2,1.016,0.252,626.0845295
2,6,1,31.39,0.094,3,23.7574829,2,1.524,0.282,420.651996
2,6,1,29.87,0.084,3,20.4536145,2,2.54,0.252,464.9403305
2,6,1,28.65,0.074,4,21.79393082,2,3.175,0.296,418.5247272
2,6,1,26.82,0.066,3,24.12106022,2,6.35,0.198,353.9928126
2,6,1,24.99,0.056,3,20.5296281,2,9.525,0.168,387.540627
2,6,1,24.69,0.048,3,19.82919307,2,12.7,0.144,396.4132044
2,6,1,24.69,0.043,3,24.93529949,2,19.05,0.129,315.2380009
2,6,1,24.08,0.041,3,25.2128026,2,25.4,0.123,304.065693
2,6,1,24.08,0.038,4,24.51409365,2,44.45,0.152,312.7322759
2,6,1,38.71,0.094,3,30.12407115,2,0.508,0.282,409.1113895
2,6,1,34.14,0.102,3,35.17285481,2,1.016,0.306,309.0209769
2,6,1,30.18,0.112,3,31.89919293,2,1.524,0.336,301.2115381
2,6,1,29.26,0.102,4,27.34894466,2,2.54,0.408,340.6166026
2,6,1,27.74,0.094,3,25.48840205,2,3.175,0.282,346.4941538
2,6,1,25.6,0.084,4,37.39623116,2,6.35,0.336,217.9436366
2,6,1,24.08,0.112,4,35.40677798,2,9.525,0.448,216.5220541
2,6,1,23.47,0.071,3,35.13844588,2,12.7,0.213,212.6486372
2,6,1,23.47,0.066,4,28.40593893,2,19.05,0.264,263.0486057
2,6,1,23.16,0.058,4,26.08293542,2,25.4,0.232,282.6924128
2,6,1,23.16,0.056,4,37.24394484,2,44.45,0.224,197.9770934
2,6,1,37.8,0.096,3,42.07709133,2,0.508,0.288,286.0079814
2,6,1,33.22,0.104,3,45.88861799,2,1.016,0.312,230.4765335
2,6,1,29.26,0.112,4,44.82049856,2,1.524,0.448,207.8402721
2,6,1,28.04,0.099,4,38.37730084,2,2.54,0.396,232.6138912
2,6,1,26.82,0.084,3,47.20214314,2,3.175,0.252,180.8960649
2,6,1,24.99,0.081,3,43.3405295,2,6.35,0.243,183.571014
2,6,1,22.86,0.074,3,39.63771092,2,9.525,0.222,183.6114345
2,6,1,22.86,0.069,4,44.17348511,2,12.7,0.276,164.7580431
2,6,1,22.86,0.069,4,46.40003894,2,19.05,0.276,156.8519581
2,6,1,22.56,0.066,3,41.54273504,2,25.4,0.198,172.8924678
2,6,1,22.56,0.066,4,43.07047837,2,44.45,0.264,166.7598376
2,6,2,110.95,0.018,2,3.713927061,1,0.508,0.036,9510.996021
2,6,2,96.93,0.023,2,1.934222727,1,1.016,0.046,15954.52189
2,6,2,83.21,0.028,2,5.843617083,1,1.524,0.056,4533.41874
2,6,2,80.47,0.023,2,2.514494619,1,2.54,0.046,10188.61975
2,6,2,77.11,0.018,2,4.08229874,1,3.175,0.036,6013.647724
2,6,2,70.71,0.015,2,6.240644037,1,6.35,0.03,3607.310198
2,6,2,67.36,0.015,2,2.77966552,1,9.525,0.03,7715.100756
2,6,2,67.06,0.013,2,5.754091946,1,12.7,0.026,3710.383632
2,6,2,66.75,0.013,2,5.586183402,1,19.05,0.026,3804.242066
2,6,2,66.14,0.01,3,1.033422038,1,25.4,0.03,20375.98139
2,6,2,65.84,0.01,2,6.112563474,1,44.45,0.02,3429.244919
2,6,2,106.68,0.023,3,8.856186644,1,0.508,0.069,3835.025976
2,6,2,93.57,0.028,2,10.31398454,1,1.016,0.056,2888.299447
2,6,2,81.38,0.033,2,7.381731628,1,1.524,0.066,3509.873767
2,6,2,79.86,0.028,2,9.683349091,1,2.54,0.056,2625.643632
2,6,2,75.59,0.023,2,9.460228027,1,3.175,0.046,2543.869359
2,6,2,68.28,0.018,3,11.16024028,1,6.35,0.054,1947.834397
2,6,2,64.31,0.015,3,9.027707579,1,9.525,0.045,2267.947986
2,6,2,62.48,0.015,2,10.53662327,1,12.7,0.03,1887.86803
2,6,2,61.57,0.013,2,8.908744145,1,19.05,0.026,2200.314348
2,6,2,60.96,0.013,2,9.849866153,1,25.4,0.026,1970.365038
2,6,2,60.05,0.01,3,7.334446969,1,44.45,0.03,2606.619876
2,6,2,104.55,0.028,3,13.31526579,1,0.508,0.084,2499.805739
2,6,2,92.05,0.033,2,17.23779372,1,1.016,0.066,1700.098864
2,6,2,79.86,0.038,3,15.52645307,1,1.524,0.114,1637.529433
2,6,2,75.59,0.033,3,18.911234,1,2.54,0.099,1272.554938
2,6,2,72.24,0.028,2,15.69248027,1,3.175,0.056,1465.609291
2,6,2,65.84,0.023,2,13.09428035,1,6.35,0.046,1600.811704
2,6,2,60.96,0.018,2,14.11898467,1,9.525,0.036,1374.591187
2,6,2,60.35,0.018,2,17.01818856,1,12.7,0.036,1129.005368
2,6,2,60.05,0.015,3,15.6905094,1,19.05,0.045,1218.450896
2,6,2,59.74,0.015,3,19.03828071,1,25.4,0.045,999.0093568
2,6,2,59.13,0.013,3,13.48518353,1,44.45,0.039,1395.992487
2,6,2,98.76,0.048,2,20.19113298,1,0.508,0.096,1557.228903
2,6,2,85.65,0.053,2,24.8012632,1,1.016,0.106,1099.475686
2,6,2,75.59,0.056,2,24.86034161,1,1.524,0.112,968.0311149
2,6,2,70.71,0.053,3,19.72001947,1,2.54,0.159,1141.577924
2,6,2,67.36,0.048,3,19.67698318,1,3.175,0.144,1089.872332
2,6,2,62.48,0.043,3,19.59827663,1,6.35,0.129,1014.974663
2,6,2,57.61,0.038,3,21.73344121,1,9.525,0.114,843.9203165
2,6,2,57.3,0.036,3,23.95404357,1,12.7,0.108,761.5665324
2,6,2,57.3,0.036,3,22.82872898,1,19.05,0.108,799.1070337
2,6,2,56.69,0.033,2,19.2452276,1,25.4,0.066,937.8113165
2,6,2,56.69,0.028,2,22.5683731,1,44.45,0.056,799.7205714
2,6,2,90.53,0.066,2,32.68102786,1,0.508,0.132,881.9193608
2,6,2,80.47,0.071,3,27.78989828,1,1.016,0.213,921.8900078
2,6,2,73.76,0.076,3,29.54420371,1,1.524,0.228,794.8417713
2,6,2,64.92,0.066,2,35.54868836,1,2.54,0.132,581.4160196
2,6,2,61.57,0.056,3,32.14638591,1,3.175,0.168,609.7742254
2,6,2,57.61,0.053,2,30.3991568,1,6.35,0.106,603.3487278
2,6,2,50.9,0.048,2,29.43112762,1,9.525,0.096,550.6085413
2,6,2,50.6,0.043,2,27.36758411,1,12.7,0.086,588.6350507
2,6,2,50.6,0.041,2,30.18404237,1,19.05,0.082,533.7098015
2,6,2,50.29,0.038,2,36.27514056,1,25.4,0.076,441.3718136
2,6,2,49.99,0.036,3,35.08525562,1,44.45,0.108,453.6182882
2,6,2,86.26,0.066,2,49.03652644,1,0.508,0.132,560.0435742
2,6,2,78.94,0.071,3,48.85171239,1,1.016,0.213,514.457371
2,6,2,70.71,0.066,3,44.23408449,1,1.524,0.198,508.9274285
2,6,2,65.84,0.056,2,43.4721201,1,2.54,0.112,482.1820787
2,6,2,59.13,0.053,3,43.59251201,1,3.175,0.159,431.8451503
2,6,2,54.25,0.048,2,49.14526638,1,6.35,0.096,351.439128
2,6,2,50.29,0.046,3,40.35179754,1,9.525,0.138,396.7809504
2,6,2,49.99,0.043,3,43.14659628,1,12.7,0.129,368.866028
2,6,2,49.99,0.041,3,42.26304093,1,19.05,0.123,376.5775781
2,6,2,49.38,0.041,3,46.33786078,1,25.4,0.123,339.2713359
2,6,2,49.38,0.041,3,46.85669552,1,44.45,0.123,335.5146528
2,6,2,36.88,0.02,4,5.799453517,2,0.508,0.08,2024.584484
2,6,2,36.88,0.028,3,1.370337946,2,1.016,0.084,8568.31239
2,6,2,30.48,0.038,4,5.805086652,2,1.524,0.152,1671.622929
2,6,2,29.57,0.028,3,2.806534725,2,2.54,0.084,3354.385468
2,6,2,28.04,0.02,3,6.210682359,2,3.175,0.06,1437.37721
2,6,2,26.21,0.015,4,4.802808594,2,6.35,0.06,1737.415955
2,6,2,24.69,0.013,3,1.94515211,2,9.525,0.039,4041.099882
2,6,2,24.69,0.01,3,5.962759334,2,12.7,0.03,1318.274564
2,6,2,24.08,0.008,4,4.276176139,2,19.05,0.032,1792.80461
2,6,2,24.08,0.008,3,6.134834846,2,25.4,0.024,1249.642165
2,6,2,23.77,0.005,3,4.925773803,2,44.45,0.015,1536.338029
2,6,2,40.54,0.028,3,7.092728187,2,0.508,0.084,1819.711297
2,6,2,36.27,0.038,3,6.481951076,2,1.016,0.114,1781.450955
2,6,2,29.57,0.046,4,8.516937008,2,1.524,0.184,1105.35035
2,6,2,28.96,0.038,4,10.25469926,2,2.54,0.152,899.099369
2,6,2,28.04,0.028,4,12.54329567,2,3.175,0.112,711.7023724
2,6,2,26.21,0.023,4,8.148719573,2,6.35,0.092,1024.023002
2,6,2,24.08,0.018,3,6.461750226,2,9.525,0.054,1186.419782
2,6,2,23.77,0.013,4,7.128726578,2,12.7,0.052,1061.571591
2,6,2,23.77,0.01,4,7.731621372,2,19.05,0.04,978.7925778
2,6,2,23.77,0.008,4,9.320456125,2,25.4,0.032,811.9402647
2,6,2,23.47,0.008,4,11.14996885,2,44.45,0.032,670.149193
2,6,2,39.32,0.038,4,17.65638912,2,0.508,0.152,708.9958308
2,6,2,36.27,0.046,4,18.38708306,2,1.016,0.184,628.0103211
2,6,2,28.96,0.058,4,14.69522121,2,1.524,0.232,627.414416
2,6,2,28.04,0.046,3,18.32959753,2,2.54,0.138,487.0316039
2,6,2,27.13,0.038,4,18.45852727,2,3.175,0.152,467.9342238
2,6,2,25.6,0.028,3,14.55088464,2,6.35,0.084,560.1220004
2,6,2,27.13,0.02,4,19.04129576,2,9.525,0.08,453.6128601
2,6,2,23.77,0.018,4,12.91202757,2,12.7,0.072,586.0933593
2,6,2,23.47,0.015,4,13.03538304,2,19.05,0.06,573.2200277
2,6,2,23.47,0.01,3,18.14199919,2,25.4,0.03,411.8698579
2,6,2,22.86,0.008,3,18.48273545,2,44.45,0.024,393.769471
2,6,2,36.88,0.076,3,19.88102224,2,0.508,0.228,590.5875193
2,6,2,33.83,0.084,4,22.09656398,2,1.016,0.336,487.4267004
2,6,2,28.04,0.094,4,19.24634669,2,1.524,0.376,463.8331329
2,6,2,26.82,0.084,4,19.39853988,2,2.54,0.336,440.1713737
2,6,2,25.6,0.076,4,21.02260397,2,3.175,0.304,387.6908221
2,6,2,23.77,0.066,4,22.44877876,2,6.35,0.264,337.1075859
2,6,2,22.25,0.058,3,22.50469637,2,9.525,0.174,314.7668015
2,6,2,21.95,0.048,3,21.32967889,2,12.7,0.144,327.6289506
2,6,2,21.95,0.043,4,23.60911593,2,19.05,0.172,295.9966961
2,6,2,21.64,0.043,3,23.16132285,2,25.4,0.129,297.4582096
2,6,2,21.64,0.038,3,22.22166184,2,44.45,0.114,310.0364715
2,6,2,34.44,0.094,3,36.98168622,2,0.508,0.282,296.4889397
2,6,2,30.48,0.104,4,31.56494158,2,1.016,0.416,307.4270208
2,6,2,27.13,0.112,4,30.33748463,2,1.524,0.448,284.709716
2,6,2,25.91,0.104,4,26.12916818,2,2.54,0.416,315.6994987
2,6,2,24.69,0.094,4,34.83174653,2,3.175,0.376,225.6721166
2,6,2,22.86,0.084,3,31.4485624,2,6.35,0.252,231.4235185
2,6,2,21.34,0.112,4,31.08074259,2,9.525,0.448,218.592417
2,6,2,21.03,0.071,3,36.25742073,2,12.7,0.213,184.6606799
2,6,2,20.73,0.066,3,27.57393921,2,19.05,0.198,239.3495151
2,6,2,20.73,0.058,3,33.12797904,2,25.4,0.174,199.2215997
2,6,2,20.73,0.058,4,32.57666888,2,44.45,0.232,202.5931197
2,6,2,33.83,0.096,4,41.49692723,2,0.508,0.384,259.5482603
2,6,2,29.57,0.107,4,48.704071,2,1.016,0.428,193.2938891
2,6,2,25.91,0.112,3,47.64029259,2,1.524,0.336,173.1510209
2,6,2,24.99,0.099,3,40.03076319,2,2.54,0.297,198.7487701
2,6,2,24.08,0.084,3,41.68730854,2,3.175,0.252,183.9012535
2,6,2,22.25,0.081,3,46.71117476,2,6.35,0.243,151.649607
2,6,2,20.42,0.076,3,47.78189312,2,9.525,0.228,136.0581147
2,6,2,20.42,0.069,3,50.15835825,2,12.7,0.207,129.611784
2,6,2,20.42,0.069,4,43.36633631,2,19.05,0.276,149.9115408
2,6,2,20.12,0.066,4,40.59722341,2,25.4,0.264,157.7842713
2,6,2,20.12,0.066,3,47.63900808,2,44.45,0.198,134.4613074
2,6,3,402.03,0.056,2,4.316104312,1,0.508,0.112,29655.0454
2,6,3,351.43,0.069,3,0.672494006,1,1.016,0.207,166372.8584
2,6,3,300.84,0.086,3,4.605316261,1,1.524,0.258,20797.35877
2,6,3,292,0.069,2,5.268034536,1,2.54,0.138,17646.81373
2,6,3,279.81,0.056,2,3.336057115,1,3.175,0.112,26703.10833
2,6,3,256.03,0.046,2,6.096945032,1,6.35,0.092,13369.36069
2,6,3,243.84,0.043,2,3.396242374,1,9.525,0.086,22858.00572
2,6,3,242.62,0.041,2,0.965040183,1,12.7,0.082,80041.13986
2,6,3,242.01,0.036,2,4.666045733,1,19.05,0.072,16512.63511
2,6,3,239.88,0.033,2,2.448297566,1,25.4,0.066,31193.34172
2,6,3,238.05,0.03,2,4.684716004,1,44.45,0.06,16177.70758
2,6,3,386.49,0.069,3,8.195796714,1,0.508,0.207,15013.40317
2,6,3,339.24,0.086,2,9.291746722,1,1.016,0.172,11623.62941
2,6,3,294.44,0.099,2,10.17181125,1,1.524,0.198,9215.747773
2,6,3,288.65,0.086,2,10.81593276,1,2.54,0.172,8496.491881
2,6,3,274.02,0.069,2,10.13856158,1,3.175,0.138,8604.744557
2,6,3,247.19,0.056,2,12.4955187,1,6.35,0.112,6298.087241
2,6,3,232.26,0.046,2,8.530980293,1,9.525,0.092,8667.773349
2,6,3,225.86,0.046,2,9.084620783,1,12.7,0.092,7915.249045
2,6,3,223.42,0.041,2,10.88978036,1,19.05,0.082,6531.831766
2,6,3,220.07,0.036,2,6.831190134,1,25.4,0.072,10256.4374
2,6,3,217.02,0.03,2,11.84767381,1,44.45,0.06,5831.747799
2,6,3,378.26,0.086,2,16.15081145,1,0.508,0.172,7456.38175
2,6,3,333.45,0.099,2,17.76496349,1,1.016,0.198,5975.833191
2,6,3,288.65,0.112,3,18.4646268,1,1.524,0.336,4976.947863
2,6,3,274.02,0.099,2,15.05649771,1,2.54,0.198,5794.158392
2,6,3,261.82,0.086,3,18.42784373,1,3.175,0.258,4523.351752
2,6,3,238.05,0.069,3,15.15732776,1,6.35,0.207,5000.087536
2,6,3,220.07,0.056,3,14.76097553,1,9.525,0.168,4746.547669
2,6,3,218.85,0.048,3,17.97747792,1,12.7,0.144,3875.6973
2,6,3,217.02,0.043,2,13.15739734,1,19.05,0.086,5251.239576
2,6,3,216.41,0.043,2,14.48570072,1,25.4,0.086,4756.307017
2,6,3,214.27,0.041,3,15.64246616,1,44.45,0.123,4361.021313
2,6,3,357.23,0.142,3,21.17966847,1,0.508,0.426,5369.833618
2,6,3,309.68,0.155,3,19.58230345,1,1.016,0.465,5034.790983
